listing_id,host_name,room_type,description,borough,nbhood,last_review,price
18772198,Ben,entire home/apt,Clean Cozy & Comfy Apartment In NYC!,Manhattan, Gramercy,June 09 2019,265
18776908,Margot,entire home/apt,Luminous studio in Union Square,Manhattan, East Village,June 23 2019,160
18778024,Lana,private room,Modern Bright Bedroom 30 seconds to Subway!,Queens, Long Island City,June 23 2019,100
18783614,Marie-Astrid,entire home/apt,Oversized sun drenched loft in trendy Williamsburg,Brooklyn, Williamsburg,June 08 2019,250
18785035,Elsa,private room,"Giant bedroom in Carroll Gardens, Brooklyn",Brooklyn, Carroll Gardens,April 23 2019,77
18785349,Jason & Mary,entire home/apt,12 Min to Manhattan! Spacious APT in Brooklyn,Brooklyn, Bushwick,January 03 2019,180
18787858,Stanley,entire home/apt,Fabulous studio in midtown Manhattan,Manhattan, Murray Hill,May 16 2019,150
18787950,Vanessa,entire home/apt,Sun-drenched Apt in 1820's Style Home,Brooklyn, Crown Heights,January 02 2019,150
18789373,Fanny,entire home/apt,Whole apartment in Williamsburg 1 block to train,Brooklyn, Williamsburg,May 15 2019,165
18789421,Edmund,entire home/apt,Peace in Brooklyn,Brooklyn, Bedford-Stuyvesant,July 02 2019,125
18790004,Vincent,entire home/apt,Large 1 bed w/big kitchen & exposed brick,Manhattan, East Village,January 06 2019,150
18791570,Zachary,private room,Small but cozy room near Park and Subway,Brooklyn, South Slope,June 20 2019,53
18793633,Lauren,entire home/apt,Beautiful 1 Bed near Washington Square Park!!,Manhattan, Greenwich Village,July 07 2019,299
18794243,Malachi,private room,Brooklyn Room Close to Manhattan,Brooklyn, Bushwick,April 20 2019,55
18794680,Diana,private room,HUGE ROOM -- BEST PRICE,Brooklyn, Bushwick,May 24 2019,65
18795229,Joe Berat,entire home/apt,Ground Floor Studio,Queens, Rego Park,June 23 2019,70
18795447,Ikello,private room,Large Private Room in Heart of Diversity.,Bronx, Mount Eden,June 30 2019,55
18803064,Steven,private room,Once Upon Avant-garde Bushwick,Brooklyn, Bushwick,June 24 2019,63
18806323,Robert,entire home/apt,"Seaside Nest
#SeasideNestNYC",Queens, Arverne,June 30 2019,250
18809063,Karen,entire home/apt,Lovely apartment in Brooklyn,Brooklyn, Crown Heights,June 21 2019,85
18812153,Stanley,entire home/apt,Luxurious studio near NYU Hospital,Manhattan, Murray Hill,February 06 2019,150
18812330,Dave,shared room,A Guest Room in a Bushwick Artist/Musician's Loft,Brooklyn, Williamsburg,June 22 2019,64
18813227,Jean Paul,private room,"★Comfy Bedroom in Convenient, awesome location!★",Brooklyn, Flatbush,June 16 2019,31
18822775,James,private room,2 Rooms+Private Bath in Large Colonial House,Brooklyn, Flatbush,July 02 2019,90
18823516,Andrea,private room,PRIME LOCATION/SUNLIT ROOM 2,Manhattan, Chinatown,June 24 2019,130
18823774,Yaacov,entire home/apt,One bed Doorman Building Close to Park,Manhattan, Upper East Side,January 01 2019,160
18824754,Oksana,private room,"Sunny, private room !Sheepshead Bay Area.",Brooklyn, Sheepshead Bay,June 19 2019,50
18826104,Max,private room,Beautiful sunny bushwick loft,Brooklyn, Bushwick,January 03 2019,73
18826197,Harmony,private room,Room in 5 bedroom house with a backyard!,Brooklyn, Greenpoint,May 28 2019,85
18826370,Candace,private room,Heights III,Brooklyn, East Flatbush,June 30 2019,89
18828846,Kat,entire home/apt,"Private Studio Apartment, Staten Island, NYC",Staten Island, Emerson Hill,July 01 2019,49
18836337,Olvin,private room,Modern Comfort,Brooklyn, Brownsville,February 25 2019,55
18836532,Maria,entire home/apt,"Spacious Ocean-Side Studio in
Brooklyn w/Parking",Brooklyn, Bath Beach,July 07 2019,119
18837073,Dave,entire home/apt,"Bright, Modern Apt with Hi Speed Wifi! #10222",Brooklyn, Crown Heights,April 16 2019,85
18838643,James,private room,Private bedroom in West Soho/West Village,Manhattan, SoHo,June 21 2019,76
18838909,Ronn,entire home/apt,Beautiful Seaview apt. Gated community.  Near JFK.,Brooklyn, Canarsie,July 05 2019,46
18840683,Saxon,entire home/apt,"Quiet, 2-Bedroom Haven in hip Crown Heights",Brooklyn, Crown Heights,February 11 2019,79
18840735,Frank,entire home/apt,Light & Cozy SoHo Hacienda,Manhattan, SoHo,July 01 2019,205
18840866,Barbara,private room,Private Room with Private Bath Upper East Side,Manhattan, Upper East Side,May 24 2019,190
18842507,Luidmila,private room,Luxury Apt Financial Dist. steps from Wall Street,Manhattan, Financial District,June 30 2019,135
18847331,Adrienne,private room,Zen Private Rm with roof access in Upper Manhattan,Manhattan, Washington Heights,June 01 2019,49
18848869,Tobi,private room,Bedroom in a Cozy Apartment,Manhattan, Harlem,June 02 2019,51
18849349,Shary,entire home/apt,Chelsea Studio (King bed + convertible full sofa),Manhattan, Chelsea,May 05 2019,149
18852200,Paula,private room,Comfy Single Bedroom-Large East Village Apartment,Manhattan, East Village,April 29 2019,75
18852245,Yasmin,private room,Beautiful Room in Historic Hamilton Heights,Manhattan, Harlem,April 30 2019,55
18853435,Leo,private room,B1Cozy Room in Long Island City Great Location.,Queens, Long Island City,June 10 2019,54
18855694,Joe,private room,SOHO/NOLITA GEM (NYC's BEST LOCATION),Manhattan, Nolita,June 12 2019,142
18855750,Tammie,private room,Flushing Haven (B),Queens, Flushing,June 24 2019,50
18855980,Aleida,private room,Close by La Guardia airport,Queens, East Elmhurst,June 27 2019,50
18856302,Rachel,entire home/apt,Immaculate and beautiful 2 BDR private apartment,Brooklyn, Crown Heights,June 30 2019,109
18857790,Karen,private room,Private bedroom in a quiet and safe neighborhood,Brooklyn, Gravesend,July 06 2019,40
18858192,Patrick,entire home/apt,Sweet Home Away from Home - 1 Bedroom Apt,Queens, Glendale,June 23 2019,99
18858761,Vik,entire home/apt,Private Entrance Astoria Five min walk to subway,Queens, Astoria,March 17 2019,125
18867401,Giampiero,entire home/apt,Studio apartment close to Central Park,Manhattan, Upper East Side,June 27 2019,250
18869692,Julie,private room,Beautiful Bright bedroom with private bathroom,Brooklyn, Williamsburg,June 16 2019,90
18870016,Sara,private room,Cozy room in the heart of LES!,Manhattan, Lower East Side,June 24 2019,80
18871571,Lilly,private room,"Sunny 1 Bedroom Apt, Lower East Side, Manhattan",Manhattan, Lower East Side,June 17 2019,150
18871734,David,entire home/apt,Best of Brooklyn - Williamsburg 2 Bed/2 Bath Apt,Brooklyn, Williamsburg,July 06 2019,250
18872858,Charles,entire home/apt,Elegant  Studio in a great cottage,Bronx, Baychester,July 06 2019,75
18874640,AFI Apartments,entire home/apt,Stunning 2 Bedroom Apartment,Manhattan, Upper East Side,May 09 2019,148
18875426,Lima,private room,Uber Zen Clean Modern Apartment in E-Williamsburg,Brooklyn, Williamsburg,April 02 2019,77
18875512,Kat Kat,entire home/apt,Great spot!Super convinient location and cozy Home,Manhattan, Gramercy,July 03 2019,118
18876580,Kerith,private room,Private Bedroom in Lovely Astoria Home,Queens, Astoria,July 03 2019,60
18877341,Wilder,entire home/apt,One bedroom with private roof deck,Brooklyn, Bushwick,June 12 2019,100
18877694,Tammie,private room,Cozy Guestroom,Queens, Flushing,June 24 2019,50
18878093,Ashley,private room,"Hip yet chic *private room*
10 minutes to city",Brooklyn, Williamsburg,July 04 2019,65
